,Text,Summary
40404,the july deadline to begin withdrawing troops from afghanistan is unrealistic and afghan ambassador said tayeb jawad told of the if you deadline that is not you are making the enemy lot more jawad are prolonging the that deadline should be the line should be based on the reality on the ground and we should give clear message to the to the terrorists who are threat to that the united afghans are there to finish this,lindsey withdrawl should only begin when conditions warrant it
38393,libyan military aircraft crashed wednesday southwest of benghazi after the crew refused to follow orders to bomb the quryna newspaper the pilot and parachuted out of the and the plane crashed in an uninhabited the paper,pilot and eject before the newspaper reports
81028,south korea beat fellow world cup finalists ivory coast in friendly international at loftus road in london on lee early strike put the koreans on their way to victory which was sealed by kwak late,south korea beat ivory coast in friendly international at loftus road in london
31989,sensing an imminent the government recognized by the international community as the rightful ruler of ivory coast said saturday the other side has committed is losing its top generals to defections and is looking for for its last the claims by patrick spokesman for alassane could not be independently verified by cnn and came amid backdrop of extreme violence in portions of the including the western town of,ouattara forces say they control
18885,top official has criticized claim that the six imprisoned leaders of the religious minority were held for security reasons and not because of their president mahmoud government has been accused of trying to eliminate the,official denies iran claim that six of its leaders held for security reasons
66155,the attorney for nancy charged in the jaycee lee dugard abduction expressed concern wednesday that intense media coverage may prejudice his ability to get fair phillip garrido and his wife in shortly after his release from jail for,nancy garrido faces charges with her husband in abduction of jaycee lee dugard
2154,last week began with missing persons report filed for katherine jackson but ended with michael mother attending concert by four of her in the days complex family feud played out in headlines and on celebrity,randy jackson remains on the attack against the men who run the michael jackson estate
33283,casey anthony is responsible for the death of her daughter report released thursday by department of children and families month after jury acquitted anthony on murder and child neglect the state agency found that anthony the caregiver responsible for the verified maltreatments of threatened harm and failure to in her,the report was released as state spokeswoman says
89234,china has around two million people policing public opinion according to state media report that sheds light on the secretive internet surveillance dubbed opinion they work for the chinese communist propaganda major chinese news websites and commercial according to the beijing,china has around two million people policing public opinion online
48848,your racial and ethnic background can shape many aspects of your the type of food you where you and your political now new survey suggests that how you sleep and what you do before you hit the hay whether watch or have sex varies by ethnic group as,of hispanics sleep with their significant other or partner
71305,paul home is and large bandage is draped across his head not from four previous brain surgeries he had endured but from the plywood that smacked while he was outside trying to warn family across the street about coming and yet the resident was all about giving,paul lord and his family survive after tornado tears through his home
83120,at least people died and others were wounded in an attack on the headquarters in the somali capital of mogadishu on seven four employees and three female civilians were said abdikarim hussein the interior and national security the other victims were rushed to,militants and employees were people were wounded
14806,there are guards at the guards checking and guards at the door of the darkened security is tight as the reason for these safeguards is stored under and bathed in pool of low light not jewels or what might traditionally be termed but four brown in room packed with illuminated tomes and books of it would be easy to ignore the four tatty sheets arranged in cabinet along the were it not for the two magic magna,four surviving copies of the magna carta have gone on display in london to mark anniversary
53286,the disappearance of suburban chicago police wife is now being treated as potential and her husband is authorities said stacy has been missing from her suburban chicago home since october,judge signs order to exhume the body of drew third wife
32044,some democrats say they fear their method of picking nominee might turn undemocratic as neither presidential candidate is likely to gather the delegates needed for the the superdelegate system is supposed to avoid turmoil at the,system includes about superdelegates party leaders
37556,ziprealty is residential real estate brokerage firm which uses the proprietary technology and employee real estate agents to provide home buyers and sellers with online web site provides users with access to comprehensive home listings,ziprealty uses proprietary employee real estate agents
49451,boko haram failed attempts to seize the key nigerian city of maiduguri on the second attack there in islamist extremists tried to enter the capital of borno during predawn attack after the army fought them off last,suicide blast outside the home of prominent politician kills
58712,it was sophisticated attack with sophisticated authorities quickly identified the boston bombing but almost immediately after tamerlan tsarnaev was killed during the manhunt for the perpetrators and dzhokhar tsarnaev was investigators privately questioned if more people were,investigators have always wondered if more people were involved in the bombings than just the brothers
45911,likely to sweat little to get to some of the best but they deliver cool refuge and powerful reminder of the united waterfalls splash through national parks and preserves and are tucked away in state parks known only to nearby waterfall lovers will travel thousands of miles and hike or bike to see these prime examples of nature in,bridal veil falls is usually frozen in winter
72119,gradual hearing loss is common symptom of but in some people it may also be an early sign of disease or other types of new study the risk of dementia appears to rise as hearing older people with mild hearing impairment those who have difficulty following conversation in crowded say were nearly twice as likely as those with normal hearing to develop the study severe hearing loss nearly quintupled the risk of,in some gradual hearing loss may also be an early sign of types of dementia
81764,dubai police have intercepted an illegal shipment of pistols from turkey to dhahi khalfan the dubai police said shall not allow any criminal elements to use our territories to carry out any illicit plot that poses threat to peace and security of any tamim,the weapons were found in shipping container in port
69187,with dozens dead and scores of buildings reduced to residents of the midwest and south on sunday were assessing the damage that series of vicious twisters left behind last by the time the powerful storm system were in in three in ohio and one each in alabama and,feel think the lord protected me and let me get out of it
30116,north carolina man is accused of arranging to have his wife raped through personal ads on the web site police said the of north was arrested in connection with the incident that occurred at his home early police said in,man arranged rape through ads on
54215,first novel was in japanese and he wrote it entirely with his publishers in japan were quick to see the potential of putting cellphone novels into,hugely popular cell phone novels have created new market for publishers in japan
41391,national security agency leaker edward snowden has written an letter to the people of offering to help investigate surveillance of brazilian the letter was posted on the website pastebin and on the facebook page of david michael partner of journalist glenn according to tweet from,the brazilian government does not plan to respond to open an official says
69199,roger federer is through to the semifinals of the atp world tour finals after beating juan martin del potro at arena on the swiss world came from set down and down in the deciding set of the group match to eventually win through in two hours and,roger federer sets up showdown with rafa nadal following victory over argentine
49958,the shooting down of chinook helicopter in central afghanistan with the loss of lives most of them navy seals highlights two crucial aspects of the conflict in as forces begin to draw down and afghan security forces start taking the the first is the growing reliance on special operations forces to combat the taliban and other insurgent groups in operations every night across the,the use of special operations forces in afghanistan has grown
